# accelerometer data
# file: 'rgbd_dataset_freiburg2_pioneer_360.bag'
# timestamp ax ay az
1311876799.649164 0.323296 9.375588 -1.496741
1311876799.650166 0.323296 9.375588 -1.496741
1311876799.653798 0.227505 9.279797 -1.640429
1311876799.654790 0.227505 9.279797 -1.640429
1311876799.658069 0.502905 9.447432 -1.520689
1311876799.659163 0.502905 9.447432 -1.520689
1311876799.662686 0.371192 9.100188 -1.448846
1311876799.663694 0.371192 9.100188 -1.448846
1311876799.666964 0.119739 9.279797 -1.353054
1311876799.667957 0.119739 9.279797 -1.353054
1311876799.669190 0.119739 9.279797 -1.353054
1311876799.670201 0.119739 9.279797 -1.353054
1311876799.673829 0.407114 9.471380 -1.544637
1311876799.674814 0.407114 9.471380 -1.544637
1311876799.678062 0.227505 9.279797 -1.544637
1311876799.679074 0.227505 9.279797 -1.544637
1311876799.682711 0.407114 9.519276 -1.353054
1311876799.683698 0.407114 9.519276 -1.353054
1311876799.686948 0.407114 9.375588 -1.448846
1311876799.687952 0.407114 9.375588 -1.448846
1311876799.689197 0.407114 9.375588 -1.448846
1311876799.690183 0.407114 9.375588 -1.448846
1311876799.693846 0.227505 9.375588 -1.496741
1311876799.694836 0.227505 9.375588 -1.496741
1311876799.698075 0.407114 9.567171 -1.448846
1311876799.699066 0.407114 9.567171 -1.448846
1311876799.702701 0.119739 9.184006 -1.640429
1311876799.703835 0.119739 9.184006 -1.640429
1311876799.706951 0.047896 9.184006 -1.544637
1311876799.707947 0.047896 9.184006 -1.544637
1311876799.709189 0.047896 9.184006 -1.544637
1311876799.710308 0.047896 9.184006 -1.544637
1311876799.713818 0.371192 9.375588 -1.544637
1311876799.714840 0.371192 9.375588 -1.544637
1311876799.718071 0.227505 9.279797 -1.640429
1311876799.719067 0.227505 9.279797 -1.640429
1311876799.722695 0.371192 9.483354 -1.544637
1311876799.723685 0.371192 9.483354 -1.544637
1311876799.726950 0.323296 9.279797 -1.592533
1311876799.727951 0.323296 9.279797 -1.592533
1311876799.729193 0.323296 9.279797 -1.592533
1311876799.730326 0.323296 9.279797 -1.592533
1311876799.733808 0.119739 9.279797 -1.556611
1311876799.734812 0.119739 9.279797 -1.556611
1311876799.738052 0.407114 9.375588 -1.209367
1311876799.739187 0.407114 9.375588 -1.209367
1311876799.742675 0.227505 9.088214 -1.448846
1311876799.743813 0.227505 9.088214 -1.448846
1311876799.746936 0.227505 9.184006 -1.448846
1311876799.747949 0.227505 9.184006 -1.448846
1311876799.749161 0.227505 9.184006 -1.448846
1311876799.750186 0.227505 9.184006 -1.448846
1311876799.753823 0.407114 9.279797 -1.257263
1311876799.754819 0.407114 9.279797 -1.257263
1311876799.758071 0.119739 9.184006 -1.568585
1311876799.759190 0.119739 9.184006 -1.568585
1311876799.762816 0.371192 9.375588 -1.496741
1311876799.763822 0.371192 9.375588 -1.496741
1311876799.767040 0.407114 9.375588 -1.544637
1311876799.768060 0.407114 9.375588 -1.544637
1311876799.769540 0.407114 9.375588 -1.544637
1311876799.770685 0.407114 9.375588 -1.544637
1311876799.773947 0.227505 9.279797 -1.544637
1311876799.774949 0.227505 9.279797 -1.544637
1311876799.778207 0.323296 9.447432 -1.544637
1311876799.779192 0.323296 9.447432 -1.544637
1311876799.782816 0.227505 9.279797 -1.556611
1311876799.783820 0.227505 9.279797 -1.556611
1311876799.787073 0.071844 9.375588 -1.520689
1311876799.788087 0.071844 9.375588 -1.520689
1311876799.791323 0.407114 9.483354 -1.448846
1311876799.792341 0.407114 9.483354 -1.448846
1311876799.793953 0.407114 9.483354 -1.448846
1311876799.794961 0.407114 9.483354 -1.448846
1311876799.798195 0.119739 9.279797 -1.556611
1311876799.799182 0.119739 9.279797 -1.556611
1311876799.802785 0.323296 9.375588 -1.257263
1311876799.803823 0.323296 9.375588 -1.257263
1311876799.807038 0.323296 9.471380 -1.209367
1311876799.808060 0.323296 9.471380 -1.209367
1311876799.811716 0.119739 9.279797 -1.544637
1311876799.812682 0.119739 9.279797 -1.544637
1311876799.813955 0.119739 9.279797 -1.544637
1311876799.815088 0.119739 9.279797 -1.544637
1311876799.818195 0.407114 9.423484 -1.544637
1311876799.819227 0.407114 9.423484 -1.544637
1311876799.822662 0.227505 9.279797 -1.568585
1311876799.823815 0.227505 9.279797 -1.568585
1311876799.826972 0.119739 9.279797 -1.544637
1311876799.827948 0.119739 9.279797 -1.544637
1311876799.829242 0.119739 9.279797 -1.544637
1311876799.830329 0.119739 9.279797 -1.544637
1311876799.833819 0.323296 9.423484 -1.544637
1311876799.834967 0.323296 9.423484 -1.544637
1311876799.838089 0.023948 9.136110 -1.544637
1311876799.839042 0.023948 9.136110 -1.544637
1311876799.842714 0.407114 9.471380 -1.544637
1311876799.843686 0.407114 9.471380 -1.544637
1311876799.844842 0.407114 9.471380 -1.544637
1311876799.848089 0.407114 9.447432 -1.544637
1311876799.849036 0.407114 9.447432 -1.544637
1311876799.852347 0.023948 9.423484 -1.544637
1311876799.853687 0.023948 9.423484 -1.544637
1311876799.857041 0.407114 9.471380 -1.209367
1311876799.858090 0.407114 9.471380 -1.209367
1311876799.859202 0.407114 9.471380 -1.209367
1311876799.860319 0.407114 9.471380 -1.209367
1311876799.863949 0.119739 9.184006 -1.736220
1311876799.864949 0.119739 9.184006 -1.736220
1311876799.868186 0.227505 9.375588 -1.520689
1311876799.869198 0.227505 9.375588 -1.520689
1311876799.872817 0.407114 9.471380 -1.353054
1311876799.873820 0.407114 9.471380 -1.353054
